z_prompt1,z_prompt2,z_prompt3,references
"""Remove redundant remove operation in TreeRangeMap's range removal logic""

This commit message indicates that a redundant or unnecessary remove operation was identified in the `TreeRangeMap` class, specifically within a method handling the removal of ranges. The change made in the code involves the deletion of a line that called `remove()` on a `entriesByLowerBound` map, likely because subsequent operations already adequately address the necessary modifications to the map, rendering this particular remove call superfluous.","```
fix(TreeRangeMap): prevent removal of lower bound when adjusting map entries
```",Remove unnecessary removal of lower bound entry in TreeRangeMap,"Remove a redundant statement in TreeRangeMap.remove().

Fixes #2167
-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=138184740"
"```
Removed unused imports and added URL copy functionality to FilePath

- Removed unused import statements for StreamResource, FileUtils, and Untar classes
- Added java.net.URL import to support new URL copy feature
- Implemented `copyFrom(URL url)` method for copying data from a URL to the FilePath
- Implemented `copyFrom(InputStream in)` method to abstract stream copying into FilePath
- Commented the code to indicate new methods and usage since version 1.293
```","```
feat(FilePath): add method to copy data from URL to FilePath

Added two new methods to the FilePath class:
- copyFrom(URL url): allows copying data from a given URL to the current FilePath instance.
- copyFrom(InputStream in): allows replacing the file content with data from an InputStream.
Removed unused imports related to StreamResource, FileUtils, and Untar classes.
```",Remove unused imports and add URL to FilePath copy capabilities,"added more convenience methods

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@16238 71c3de6d-444a-0410-be80-ed276b4c234a"
"Commit message:

```
Add check for empty SQL statement list in WallProvider

This commit introduces a check to immediately return an empty list of violations when the SQL statement list is empty. This enhancement prevents unnecessary further checks and potential errors when processing an empty input.
```","```
fix(wallprovider): handle empty statement list to avoid false positives

Ensure no Violation is returned when the parsed SQL statement list is empty. Prevents unnecessary handling of non-existent SQL statements.
```",Handle empty statement list in WallProvider to prevent IllegalSQLObjectViolation errors,"bug fixed for WallFilter, empty sql"
"Here are commit messages for the provided code diffs:

**Commit message for StaticIndexBackwardCompatibilityTest changes:**
```
Refactor data path resolution in loadIndex method

- Replace 'getClass().getResource(...).toURI()' with 'getDataPath(...)' for reading the .zip file in the StaticIndexBackwardCompatibilityTest.
- This change simplifies the path resolution logic and potentially improves path handling.
```

**Commit message for ElasticsearchIntegrationTest changes:**
```
Remove unused imports and refactor directory listing in ElasticsearchIntegrationTest

- Remove unused imports, including FileSystemUtils, AllFieldMapper, and others that are no longer in use after code changes.
- Implement a new directory listing logic that filters out directories prefixed with ""extra"" using a DirectoryStream within a try-with-resources block.
- The reason for this update is to ensure that the list of clusters within the data path does not include directories from extrasfs, enforcing a cleaner state check for the test's assumptions.
```

Always make sure that the generated messages accurately capture the intent behind the changes and rephrase or adjust them as needed to provide additional context or detail if necessary.","```
refactor: update path handling for index loading and directory listing

- Use `getDataPath` instead of manually constructing the path in `StaticIndexBackwardCompatibilityTest`
- Replace `FileSystemUtils.files` with custom directory stream filtering to exclude ""extra"" prefixed directories in `ElasticsearchIntegrationTest`
```",Refactor index loading and directory listing in integration tests,fix backwards test to not muck with URIs or get mad about extra clusters
"Here are suggested commit messages that accurately reflect the changes in the diffs provided:

1. Update SpillableSubpartitionTest with additional assert statements
```
Enhance buffer recycling assertions in SpillableSubpartitionTest

- Add checks to assert the buffer is not recycled before calling recycle and is recycled afterward.
- Introduce assertNotSame checks to ensure the read buffer is not the same as the original buffer.
- Affirm that the buffers are recycled at the end of the test within a 30-second timeout.
```

2. Refactor SpillableSubpartitionTest with AwaitableBufferAvailabilityListener
```
Refactor test to use AwaitableBufferAvailabilityListener for better sync

- Replace usage of mock BufferAvailabilityListener with a spy on the AwaitableBufferAvailabilityListener instance for synchronization in tests.
- Add wait on buffer recycling check to handle potential timing issues with write operation.
- Correct assertions to use assertSame when the buffer instance is expected to be the same before recycling.
```

3. Add missed static imports for JUnit assertions
```
Add missing static imports for JUnit assert methods

- Import static methods assertSame, assertNotSame, assertTrue, and assertFalse for better readability and more concise test code.
```

These messages reflect the addition of new assertions and refactoring in the test methods to use different listener implementations for synchronization, as well as adding static imports for better code readability.","```
feat: enhance SpillableSubpartitionTest with recycling checks and synchronization

Include assertions to verify buffer recycling behavior and synchronize buffer availability checks with AwaitableBufferAvailabilityListener in SpillableSubpartitionTest.
```",Enhance SpillableSubpartitionTest with buffer recycle assertions and timing checks,[hotfix] add some more buffer recycling checks in SpillableSubpartitionTest
"Commit message based on the code differences:

```
Refactor `doForValue` method to include `Values` parameter

- Update `doForValue` method to take a `Values` object as an additional parameter.
- Modify calls to `doForValue` to pass `values` directly rather than retrieving it inside the method.
- Enhance clarity and potentially improve performance by reducing redundant retrieval of `Values` instances.
```","feat(LIRIntrospection): pass `values` directly to `doForValue` method

BREAKING CHANGE: Changed the method signature of `doForValue` to include `Values` parameter for direct access to prevent redundant `Values` extraction within the method. Callers of this method need to update their calls to pass `Values` as an argument.",Refactor `doForValue` method to include `Values` parameter for consistency,LIRIntrospection: pass the right Values to ValuePositions.
"Refactor setFromAxis method to handle zero-length axis vectors in Quaternion class

- Ensure Quaternion.setFromAxis returns identity quaternion if the axis vector has zero length to prevent division by zero.
- Perform axis vector length check before normalizing the vector to maintain robust quaternion initialization.",fix(quaternion): handle zero-length axis in setFromAxis method,Handle zero-length axis in Quaternion.setFromAxis method,Handle division by zero
"Commit messages are a way to communicate what changes have been made to the codebase and why. Here are commit messages based on the changes described in the given diffs:

### For changes in `TestResult_new.java`:

```
Refactor TestResult parsing to handle report files directly

- Extracted report file parsing logic from the parse method into a new overloaded parse method that directly accepts baseDir and reportFiles.
- Refactored existing parse method to call the new overloaded method, reducing code duplication.
- Updated for loops to use the new reportFiles array parameter.
- Added Javadoc to the new parse method describing its purpose and usage.
- Note: This refactoring improves code readability and separation of concerns.
```

### For changes in `SurefireArchiver_new.java`:

```
Enhance SurefireArchiver to use improved TestResult parsing

- Modified SurefireArchiver to use the new TestResult parse method that accepts reportFiles directly.
- Replaced getIncludedFiles with getIncludedFilesCount for initial test report count check.
- Stored the result of getIncludedFiles in reportFiles variable for use in multiple places.
- Changed rememberCheckedFiles to accept String[] reportFiles instead of DirectoryScanner, aligning to new parsing approach.
- Altered call to rememberCheckedFiles to use the new reportFiles variable.
- These changes synchronize SurefireArchiver with the updated TestResult parsing, fostering consistency across components.
```

When composing commit messages, ensure they are clear and concise, explaining the ""what"" and ""why"" of the changes. Additionally, following project-specific guidelines for commit messages is essential.","```
refactor: refactor parsing logic in TestResult and SurefireArchiver

Extract a new parse method in TestResult class to accept baseDir and reportFiles parameters, and adjust SurefireArchiver to use the new method. Replace usage of ds.getIncludedFiles() with ds.getIncludedFilesCount() and extracted reportFiles variable in SurefireArchiver for better clarity.
```",Refactor TestResult parsing logic and SurefireArchiver file handling for clarity and reuse,"Prevent repeated array copy of DirectoryScanner's included files.
Previously, array was copied 3 times, now only once."
"Here are a few commit messages based on the changes made to the RunParameterValue class:

1. Handle possible null 'run' in RunParameterValue
   ```
   Fix potential NullPointerException by checking for null 'run' before using it in 'buildEnvVars' and 'getShortDescription'
   ```

2. Prevent null run URLs in environment variables
   ```
   Modify RunParameterValue to handle cases where 'run' is null, defaulting to 'UNKNOWN' for run URL in environment variables
   ```

3. Safeguard against null build results in environment variables
   ```
   Ensure environment variable for build result defaults to 'UNKNOWN' if 'run' or 'run.getResult()' is null
   ```

4. Default run display name when run is null
   ```
   Update RunParameterValue to assign default display name in environment variables when 'run' is null
   ```

5. Provide default short description when run is unavailable
   ```
   Adjust 'getShortDescription' in RunParameterValue to fall back to job name and number when 'run' is null
   ```

Each of these messages succinctly describes the specific change and the scenario it addresses, which would help other developers understand the reason for the change when looking at the commit history.","feat: Handle null Run instances in RunParameterValue

Handle cases where Run instances are null by providing default values for environment variables and short descriptions in `RunParameterValue`. This includes setting a default value of ""UNKNOWN"" for `Run.getUrl()` and a standard '#1' format when the display name is not available. Additionally, safeguard against a null result when setting the build result environment variable.",Handle null Run instance in RunParameterValue env variable expansion and description,[JENKINS-20857] - Add some null checks to RunParameterValue
"Commit message:

```
Refactor Http2Codec to determine request body presence directly

- Remove unused import for HttpMethod
- Simplify request body presence check by directly inspecting request body
```

Here the commit message is clear in stating what was done: a refactoring that removes the dependency on HttpMethod to determine if the request body is present and opts for a more straightforward approach by checking if the request's body is null or not. The unused import is also removed to clean up the code.","```
refactor(http2codec): use request body presence to determine request stream creation

Replaced the HttpMethod.permitsRequestBody check with direct request body null check to decide on whether the stream should be created with a request body.
```",Refactor check for request body presence in Http2Codec writeRequestHeaders,"Avoid sending empty HTTP/2 data frames when there is no request body.

Closes: https://github.com/square/okhttp/issues/2892"
"Here are generated commit messages based on the changes made:

- **Commit message for `ConnectionPageGeneral_new.java`:**
  ```
  Refactor ConnectionPageGeneral to use ordered list for datasource folders
  ```
  This message reflects that the `ConnectionPageGeneral` class now uses a method from `DBUtils` to get an ordered list of datasource folders.

- **Commit message for `DBUtils_new.java`:**
  ```
  Add makeOrderedObjectList methods to DBUtils for creating sorted named object lists
  ```
  This message conveys the addition of new `makeOrderedObjectList` methods in the `DBUtils` class, which return a list of `DBPNamedObject` items that has been sorted by name.

These commit messages aim to concisely explain the essence of the changes without going into too much implementation detail, highlighting the purpose and scope of the updates to anyone reading the commit history.","feat: sort datasource folders and children alphabetically in connection setup

- The ConnectionPageGeneral class has been updated to sort the root folders and their children alphabetically within the connection setup wizard using new utility methods from DBUtils.
- The DBUtils class now includes makeOrderedObjectList methods for collections and arrays to facilitate ordered lists of named DB objects.",Refactor connection folder loading to use ordered lists for consistent display,Connection editor fix (folder list ordering)
"```
Remove deprecated scratch file utility methods from FoundationTestCase

- Deleted the scratchFile method that creates a file with given content
- Removed the deleteFile utility method as it is no longer required
```

Please note, without more context or specific guidelines regarding the codebase and commit message style guidelines it's challenging to give a perfect message. The suggestion above implies these methods were deprecated and possibly replaced with more efficient or updated methods elsewhere in the codebase.","```
refactor: remove deprecated scratchFile and deleteFile methods

The unused `scratchFile` and `deleteFile` methods have been removed from the FoundationTestCase class to streamline the codebase. These methods are redundant as their functionality is already covered by other parts of the code.
```",Remove deprecated scratchFile and deleteFile methods from FoundationTestCase,"Inline FoundationTestCase.deleteFile and one variant of scratchFile.

--
MOS_MIGRATED_REVID=91985334"
"Commit Message:

```
Add support for ignoring '-client', '-server', and '-d64' arguments in EspressoLauncher

- Included case statements to handle and ignore '-client', '-server', and '-d64' JVM arguments in the EspressoLauncher argument switch-case.
- No action will be taken if these arguments are provided during program execution.
```","feat(launcher): ignore -client, -server, and -d64 JVM arguments in EspressoLauncher","Add ignore cases for -client, -server, and -d64 JVM arguments in EspressoLauncher",Support ignored options.
"Based on the code diffs provided, here are some potential commit messages for each change. It's important that commit messages are clear and concise, explaining the purpose of the change:

Commit message for `C.java` changes:
```
Refactor VideoScalingMode definitions and deprecations in C class

- Removed deprecated annotations and references to Renderer in favor of C class.
- Updated documentation comments to reference the new location and usage of VideoScalingMode constants.
- Removed `@SuppressWarnings(""deprecation"")` annotations as they are no longer necessary.
```

Commit message for `Player.java` changes:
```
Align VideoComponent interface with updated VideoScalingMode references

- Changed the reference in VideoComponent interface from Renderer.VideoScalingMode to C.VideoScalingMode.
- Updated documentation comments to reflect the new reference.
```

Commit message for `Renderer.java` changes:
```
Deprecate Renderer.VideoScalingMode annotations in favor of C.VideoScalingMode

- Deprecated Renderer's VideoScalingMode interface and constants.
- Replaced references to Renderer's VideoScalingMode with C class counterparts.
- Adjusted annotations to indicate deprecation and pointed to C.VideoScalingMode.
```

Commit message for `SimpleExoPlayer.java` changes:
```
Update SimpleExoPlayer to use updated VideoScalingMode from C class

- Changed videoScalingMode references from Renderer.VideoScalingMode to C.VideoScalingMode.
- Updated Builder and player methods to reflect this change in the constants used.
```

Commit message for `AsynchronousMediaCodecAdapter.java` changes:
```
Replace VideoScalingMode parameter type in AsynchronousMediaCodecAdapter

- Changed parameter type from VideoScalingMode to C.VideoScalingMode for setVideoScalingMode method.
```

Commit message for `MediaCodecAdapter.java` changes:
```
Update MediaCodecAdapter setVideoScalingMode parameter type

- Changed setVideoScalingMode parameter type from VideoScalingMode to C.VideoScalingMode.
```

Commit message for `SynchronousMediaCodecAdapter.java` changes:
```
Switch to C.VideoScalingMode in SynchronousMediaCodecAdapter

- Updated setVideoScalingMode to use C.VideoScalingMode instead of VideoScalingMode.
```

Commit message for `MediaCodecVideoRenderer.java` changes:
```
Integrate C.VideoScalingMode into MediaCodecVideoRenderer class

- Replaced references of VideoScalingMode with C.VideoScalingMode.
- Updated MSG_SET_SCALING_MODE documentation to reference the updated scaling mode.
```

Each commit message focuses on the specific changes made to a particular file or logical change set, keeping them atomic and easy to understand.","```
refactor: deprecate Renderer video scaling modes in favor of C constants

Replace `Renderer.VideoScalingMode` references with `C.VideoScalingMode`, deprecate old constants and update usages throughout the codebase.
```",Refactor video scaling mode usage to use constants from class C and deprecate Renderer scaling mode constants.,"Move Renderer.VideoScalingMode back to C

As Player depends on VideoScalingMode, and
Renderer should not move to common,
to move Player to common, VideoScalingMode
needs to move first.

#player-to-common

PiperOrigin-RevId: 345314448"
"Below are the commit messages for each of the code diffs provided:

1. Commit message for changes in `DownloadTracker.java`:
```
Refactor downloadIndex to use DefaultDownloadIndex

- Remove unused import of DownloadIndex
- Change the type of downloadIndex from DownloadIndex to DefaultDownloadIndex
```

2. Commit message for changes in `DefaultDownloadIndex.java`:
```
Document putDownloadState and removeDownloadState methods

- Add Javadoc for putDownloadState to explain functionality and exception
- Add Javadoc for removeDownloadState to explain functionality and exception
```

3. Commit message for changes in `DownloadIndex.java`:
```
Remove implementation details from DownloadIndex interface

- Remove putDownloadState and removeDownloadState method definitions from DownloadIndex interface
```

4. Commit message for changes in `DownloadIndexUtil.java`:
```
Standardize DownloadIndex to DefaultDownloadIndex in DownloadIndexUtil

- Replace DownloadIndex with DefaultDownloadIndex in the upgradeActionFile method signature
- Replace DownloadIndex with DefaultDownloadIndex in the addAction method signature and add IOException documentation
``` 

These messages include the main action being taken (refactoring, documenting, removing, standardizing) followed by a brief explanation of what was changed or added and where.","```
refactor: standardize on DefaultDownloadIndex and clarify method docs

- Replace usage of DownloadIndex interface with DefaultDownloadIndex concrete class.
- Add javadoc comments to putDownloadState and removeDownloadState methods.
- Ensure method parameter names are consistent with updated class usage.
```",Refactor DownloadIndex usage to DefaultDownloadIndex and document state modification methods,"Remove index modifier methods from DownloadIndex interface

PiperOrigin-RevId: 239045412"
"Based on the code differences provided, here are some suggested commit messages:

1. **Import Additional Classes**
    - `Add import for Launcher.ProcStarter and DataInputStream`

2. **Comment Out Download URL Log**
    - `Comment out logging of the JDK download URL`

3. **Enhance JDK Installation Routine**
    - `Update JDK install script handling for Unix/Linux`
    - `Support gzipped JDK bundles for installation process`
    - `Add gzip header check and handle tar.gz JDK bundles`
    - `Refactor JDK install commands for better format compatibility`

4. **General Commit Covering All Changes**
    - `Enhance JDK installation with support for gzipped bundles and code cleanup`

Remember, the choice of a commit message should reflect the purpose and consequence of the changes made. As some of these diffs change the functionality significantly (e.g., now checking for gzipped tarballs when installing the JDK), it's important to ensure that the commit message accurately reflects those changes for proper documentation and future reference.","```
feat(JDKInstaller): handle gzipped JDK bundles for Unix-like systems

- Add support for extracting gzipped JDK files on Linux and Solaris.
- Suppress redundant download URL printing in logs.
- Include DataInputStream import for reading file headers.
- Check for gzip header and choose the appropriate extraction method.
- Comment out the original URL printing line for clarity.
```",Update JDKInstaller to handle gzipped JDK bundles and remove debug print statement,JD7 is now distributed as a gzip file
"Fix parameter array resizing logic in PreparedStatementProxyImpl

- Adjust the minimum capacity growth condition to ensure proper resizing of the parameters array.
- Change the allocation threshold to support a minimum size of 4 instead of checking for zero when increasing capacity.","```
fix: ensure parameter array capacity in PreparedStatementProxyImpl

Adjust the growth strategy for the parameter array in the
PreparedStatementProxyImpl class to ensure a minimum capacity of 4. This
avoids zero capacity when the array size needs to increase from its
initial state.
```",Ensure minimum capacity of 4 when expanding PreparedStatement parameters array,bug fixed for proxy.
"Here are the generated commit messages based on the changes made to the respective files:

For `SLInspectDebugTest.java`:

```
Refactored file reading and context handling in SLInspectDebugTest

- Reordered imports for junit Assert methods to the top of the imports list.
- Introduced a GraalVM Context for SL language execution in debug testing.
- Replaced manual file reading with TruffleFile and context-based source creation.
- Ensured proper entering and exiting of GraalVM context, with closing after test assertions.
- Added import statements for Context, Source, TruffleFile, and SLLanguage to facilitate the new changes.
```

For `SLContext.java`:

```
Added method to SLContext to provide access to the Truffle environment

- Implemented `getEnv` method to allow retrieval of the current Truffle environment within SLContext.
- Added Javadoc comment to `getEnv` method for better code documentation.
```

When committing code changes, remember to choose commit messages that best reflect the overall purpose and impact of the changes for clear and maintainable version control history.","```
refactor: reorganize imports and update context handling in SLInspectDebugTest

Move static import statements to the top and add necessary imports for
TruffleFile and SLLanguage. Modify test method to initialize context and
handle file operations with Truffle API directly. Additionally, implement
`getEnv` method in SLContext to provide access to the current Truffle
environment.
```","Optimize test imports and implement environment access in SLContext
",Fix SLInspectDebugTest.
"```
Add constant for node-level random seed configuration in TestCluster

This commit introduces a new constant `SETTING_CLUSTER_NODE_SEED` which is used to hold a per-node random seed that is consistent across node restarts. This setting is also added to the cluster configuration builder method.
```","feat: add cluster node seed setting to test configuration

Adds a new constant `SETTING_CLUSTER_NODE_SEED` for managing per-node random seed values in tests, ensuring consistency across node restarts. The setting is now included in the cluster configuration builder.",Add setting for consistent node seed and include it in cluster configuration,pass on node seed to the node level settings in TestCluster
"Based on the diffs provided, here are possible commit messages for each file:

1. Commit message for changes in `PlayerActivity_new.java`:
```
Refactor HLS MediaSource creation to use Builder pattern

- Update HLS MediaSource instantiation to use new Builder pattern instead of direct constructor
- Enhance code readability and follow the updated API changes in HlsMediaSource class
```

2. Commit message for changes in `HlsMediaSource_new.java`:
```
Introduce Builder class for HlsMediaSource construction

- Add a new static inner Builder class for constructing HlsMediaSource instances
- Provide methods in Builder class to set parameters like extractorFactory, minLoadableRetryCount, event listener, event handler, and playlistParser
- Mark existing HlsMediaSource constructors as Deprecated in favor of using the new Builder pattern
- Implement build method that validates arguments and constructs HlsMediaSource object
- Introduce utility methods forDataSource and forHlsDataSource for Builder instantiation
```

When writing commit messages, make sure to briefly describe what changes have been made and why. This helps other developers understand the context and reason for the changes when reviewing the commit history.","```
feat: implement HlsMediaSource Builder pattern

Replace the HlsMediaSource constructor with a Builder pattern to allow for more flexible instance creation and deprecation of direct constructors.
```",Refactor HlsMediaSource construction with Builder pattern and deprecate old constructors,"Add Builder pattern to HlsMediaSource.

Add Builder pattern to HlsMediaSource and mark existing constructors as
deprecated.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=175803853"
"Here are the commit messages based on the changes in each hunk:

1. Refactor stack slot storage from LinkedList to Deque in LSStackSlotAllocator
```
Refactored the `freeSlots` storage from `LinkedList` to `Deque` for better abstraction over the collection type.
```

2. Implement helper methods for stack slot management
```
Added helper methods `getOrNullFreeSlots` and `getOrInitFreeSlots` to manage stack slot retrieval and initialization.
```

3. Modify findFreeSlot method to utilize Deque and helper methods
```
Updated `findFreeSlot` method to use `Deque` for retrieving the last element and refactored it to use the new helper methods for cleaner code.
```

4. Refactor freeSlot method to use helper method for consistency
```
Refactored `freeSlot` to use the `getOrInitFreeSlots` helper method to maintain consistency in the slot management logic.
```

5. Enhance activateNext method with comments and interval finishing logic
```
Added comments to the `activateNext` method and included the logic to finish handling active intervals before activating the next one.
```

6. Provide documentation for activePeekId method
```
Added documentation for the `activePeekId` method to explain its purpose in the allocation strategy.
```

7. Add comments to the finished method for clarity
```
Included comments in the `finished` method to clarify the method's responsibility in the stack slot freeing process.
```

8. Correct maxOpId method documentation for accuracy
```
Updated the documentation of the `maxOpId` method to reflect its actual functionality, changing from ""allocated by this object"" to ""highest instruction id.""
```

When making these commits, please ensure that each message clearly conveys the intent of the change and provide enough context for other developers to understand the reason behind the modifications without having to look at the diff.","```
refactor(stack-slot-allocator): change LinkedList to Deque and improve stack slot handling

- Replace freeSlots field type with Deque interface for better abstraction
- Implement getOrNullFreeSlots and getOrInitFreeSlots to manage free stack slots
- Use pollLast instead of pollFirst in findFreeSlot to get most recently added free slot
- Modify freeSlot to leverage getOrInitFreeSlots for cleaner code
- Add JavaDoc comments to new helper methods and some existing methods for clarity
- Update maxOpId JavaDoc to describe functionality more accurately
```",Refactor LSStackSlotAllocator to use Deque and add additional helper methods,LSStackSlotAllocator: lazy initialize freeSlot and improve javadoc.
"Based on the provided code diffs, here are the commit messages summarizing the changes made:

**Commit 1: Refactor BazelLibrary 'depset' documentation and parameters**
```
Refactor BazelLibrary 'depset' function for clarity and deprecation warnings

- Update documentation comment for the 'depset' function to explain new parameters and deprecation plans.
- Add `direct` and `transitive` parameters with detailed documentation.
- Deprecate the `items` parameter and provide information on backward/forward compatibility.
- Modify the 'depset' function implementation to handle new `direct` and `transitive` parameters along with legacy `items` parameter.
- Introduce error handling for cases where both legacy and new parameters are used.
- Clean up and format code for consistency.
```

**Commit 2: Implement SkylarkNestedSet builder pattern and add error checks**
```
Implement builder pattern in SkylarkNestedSet and add transitive error checking

- Add a static `builder` method in `SkylarkNestedSet` to initialize a new Builder instance.
- Implement the Builder class with methods for adding direct and transitive elements with type checking.
- Implement content type checking for direct elements and transitive sets within the Builder.
- Throw `EvalException` instances with descriptive messages when incompatible types or orders are detected.
- Add a private utility method `isEmptySkylarkList` in `BazelLibrary`.
```

**Commit 3: Update SkylarkNestedSetTest for new 'depset' parameters and checks**
```
Update SkylarkNestedSetTest to account for new 'depset' API and checks

- Replace usage of deprecated `set` constructor in tests with `depset`.
- Add tests for the new `direct` and `items` parameters in `depset`.
- Update existing tests to use `assertThrows` for better exception handling.
- Test ordering and compatibility of elements in depset with new parameters.
- Verify content type homogeneity and handle incompatible type scenarios.
- Ensure descriptive error messages are thrown for incorrect usage.
```

These commit messages are meant to provide a succinct overview of the changes and can be modified based on the requirements of the project's commit guidelines.","```
feat: update `depset` in BazelLibrary to support `direct` and `transitive` params

BREAKING CHANGE: Deprecate positional `items` parameter in `depset` function. Usage of `direct` and `transitive` named parameters recommended for future compatibility.
```",Updated depset constructor for better type safety and deprecate 'items' parameter in favor of 'direct' and 'transitive' params.,"New depset() API

`depset` constructor has new arguments, `direct` and `transitive`.
`items` argument is deprecated and after its removal `direct` will
become a sole positional argument.
If `transitive` and `items` are specified, `items` must be a list of
direct elements.
In the absence of `transitive` the value of `items` can also be a
depset, but that behavior is deprecated.

RELNOTES: New depset API
PiperOrigin-RevId: 170346194"
"Commit messages for code diffs:

1. Changed static validateInnerQueries and validateInnerQuery methods to non-static
```
Refactor validateInnerQueries and validateInnerQuery to instance methods
```

2. Removed usage of Objects.requireNonNull in query builder constructors and add methods
```
Remove non-null enforcement in query builder constructors and add methods
```

3. Implemented null-checking and added validation errors for null queries in validation methods
```
Add null check and validation error for query clauses
```

4. Replaced BoostingQueryBuilder and ConstantScoreQueryBuilder prototypes with constructors using null parameters
```
Refactor BoostingQueryBuilder and ConstantScoreQueryBuilder prototypes to use null constructor parameters
```

5. Removed unused prototype constructors from various query builders
```
Clean up unused prototype constructors in query builders
```

6. Updated tests to remove exceptions for null and invalid query construction, add conditional null insertions
```
Update query builder tests for conditional null clause handling
```

Please ensure each message accurately reflects the changes and follows your project's commit message standards.","```
refactor!: remove use of Objects.requireNonNull in query builder constructor parameters

Removed null checks using `Objects.requireNonNull` from multiple query builder constructors, allowing null queries as valid input. Modified validation logic throughout query builders to handle null inputs and add appropriate validation errors.

BREAKING CHANGE: Constructors of query builders now accept `null` for query parameters without throwing `NullPointerException`. Users relying on these exceptions should update their code to handle the new validation error messages.
```","```plaintext
Refactor query builders to use nullable fields and add validation for null checks
```","Query Refactoring: Move null-checks from constructors and setters to validate

Following up to #12427, this PR does same changes, moving null-checks from construtors
and setters in query builder to the validate() method.

PR against query-refactoring branch"
"Here are commit messages based on the changes made for each file:

1. Util_new.java
```
Add utility method `isAbsoluteUri` and private helper `_indexOf`

- Implement a method `isAbsoluteUri` to check if a given URI is absolute.
- Create private helper method `_indexOf` for a more straightforward index comparison that handles 'not found' cases.
- These changes are aimed to improve URI handling within the application.
```

2. DirectoryBrowserSupport_new.java
```
Enhance open redirect protection in `DirectoryBrowserSupport`

- Update redirect logic to include a check for absolute URIs using the new `Util.isAbsoluteUri` method.
- This will prevent open redirects by not allowing redirection to absolute URIs.
```

3. AuthenticationProcessingFilter2_new.java
```
Prevent open redirect in `AuthenticationProcessingFilter2`

- In `determineTargetUrl`, add a check for absolute URIs to mitigate open redirect vulnerabilities.
- Utilize `Util.isAbsoluteUri` to disallow redirection to absolute URIs.
- Fallback to the default target URL (""."") if an absolute URI is detected.
```

4. UtilTest_new.java
```
Add unit tests for `isAbsoluteUri` method in `UtilTest`

- Implement tests for various URI patterns to verify the functionality of `isAbsoluteUri`.
- Test both positive scenarios (absolute URIs) and negative scenarios (relative URIs and URIs with colon characters in different positions).
```","feat: prevent open redirect by validating absolute URIs

- Introduce `Util.isAbsoluteUri()` method to check for absolute URIs across different classes.
- Modify `DirectoryBrowserSupport` and `AuthenticationProcessingFilter2` to use `Util.isAbsoluteUri()` to prevent open redirect vulnerabilities.
- Add tests for the new `Util.isAbsoluteUri()` method in `UtilTest`.",Add isAbsoluteUri utility method and fix open redirect vulnerabilities,[FIXED SECURITY-45]
"Here are the commit messages for the described changes in each file:

1. For `EventBusOptions` changes:
```
Add override methods for SSL and TCP options in EventBusOptions

- Override setUseAlpn, setSslEngineOptions, setJdkSslEngineOptions, setOpenSslEngineOptions
- Override methods to manage enabled secure transport protocols and TCP options
- Ensure EventBusOptions properly extends the functionality of TCPSSLOptions
- Import Set to support setEnabledSecureTransportProtocols method
```

2. For `HttpClientOptions` changes:
```
Implement setEnabledSecureTransportProtocols in HttpClientOptions

- Add override for setEnabledSecureTransportProtocols to allow protocol configuration
- Add Set import to be used with setEnabledSecureTransportProtocols method
```

3. For `HttpServerOptions` changes:
```
Enhance HttpServerOptions with setEnabledSecureTransportProtocols override

- Override setEnabledSecureTransportProtocols for custom protocol list
- Simplify import of java.util.* to cover all utility classes used
```

4. For `NetClientOptions` changes:
```
Extend NetClientOptions with secure transport protocol configuration

- Override setEnabledSecureTransportProtocols to customize supported protocols
- Import Set for the new overridden method's parameter
```

5. For `NetServerOptions` changes:
```
Add protocol settings override for NetServerOptions

- Override setEnabledSecureTransportProtocols for protocol settings customization
- Import Set for method parameter handling
```

Commit messages should encapsulate the essence of the change while being short and understandable. Each message here explains the overarching change and briefly touches upon the methods and reasons. Adjustments may be needed based on your project's commit message style guide or conventions.","```
feat: add secure transport protocol settings and overrides in network options

Add methods for setting and overriding enabled secure transport protocols in EventBusOptions, HttpClientOptions, HttpServerOptions, NetClientOptions, and NetServerOptions. Also include standard `Set` import for consistency and supporting overrides of methods like setTcpFastOpen, setTcpCork, setTcpQuickAck, and setLogActivity in EventBusOptions.
```","Enhance EventBus, HttpClient, HttpServer, NetClient, and NetServer options with overrides for SSL and TCP configs",Add missing covariant return in various options
