zero_prompt1,zero_prompt2,zero_prompt3,references
"Refactor ReflectionDataBuilder

- Ignore deleted methods in filter when building reflection data
- Do not expose synthetic methods for reflection in substitution classes","refactor: Updated ReflectionDataBuilder to exclude deleted and synthetic methods from reflection

Excluded deleted and synthetic methods from being exposed during reflection to avoid runtime errors and ensure consistency with substitution classes.",Refactor ReflectionDataBuilder to handle deleted and synthetic methods,Deny reflective access to synthetic methods of substituted classes.
"- Update LogAdapter to use log4j as the logging framework
- Add support for SLF4J loggers with location awareness
- Refactor LogAdapter to use a static initializer block
- Improve detection of available logging frameworks in LogAdapter
- Add check for presence of log4j-to-slf4j bridge in LogAdapter
- Update LogAdapter to use SLF4J SPI with location awareness if available
- Use Log4j directly in LogAdapter if SLF4J SPI not available
- Add support for minimal SLF4J API in LogAdapter without location awareness
- Set java.util.logging as default logging framework in LogAdapter
- Refactor LogAdapter to use a LogApi enum for better readability",refactor(log): Update LogAdapter to use the preferred logging API,Refactored LogAdapter to determine the appropriate logging API to use.,"Prefer SLF4J SPI over Log4J in case of log4j-to-slf4j bridge

Issue: SPR-17586"
"Update CoreEnvironmentContributor to include the computer's environment variables
","refactor(core-environment-contributor): improve environment variable handling

This commit improves the handling of environment variables in the CoreEnvironmentContributor class. It now correctly overrides environment variables from the Computer class, improving consistency and reliability. The commit also removes redundant code related to the Computer class in the buildEnvironmentFor(Job) method.",Refactored CoreEnvironmentContributor class to override environment variables and add the build display name.,"buildEnvironmentFor job shouldn't override slave's environment with
master's"
"- Added imports for ConcurrentHashMap and ConcurrentMap
- Initialized and instantiated a ConcurrentHashMap in the constructor
- Added a method calculateCapacity to calculate the capacity of the DataBuffer based on the CharSequence and Charset
- Modified the allocateBuffer() method call to allocateBuffer(capacity)
- Added logic to calculate the maxBytesPerChar for a given Charset and store it in the charsetToMaxBytesPerChar map
- Updated the getCharset() method to check for the charset in the mimeType
- Added comments to explain the changes made","feat: Add charsetToMaxBytesPerChar field and calculateCapacity method

Added a new field `charsetToMaxBytesPerChar` of type `ConcurrentMap<Charset, Float>` to store the maximum bytes per character for each charset. 

Also added a new private method `calculateCapacity(CharSequence sequence, Charset charset)` to calculate the capacity needed for the data buffer based on the maximum bytes per character for the given sequence and charset.

This change improves the efficiency and accuracy of allocating buffer capacity for encoding char sequences.

Closes #123.","feat: Add ConcurrentHashMap and ConcurrentMap imports
feat: Add charsetToMaxBytesPerChar field
feat: Add calculateCapacity method
feat: Modify data buffer allocation to include capacity calculation","Calculating capacity before allocation.

This commit optimizes the `CharSequenceEncoder` to allocate `DataBuffer`
instances with a predicted capacity.

Issue: SPR-17558"
Fixed bug in ViewResolversBeanDefinitionParser where order property was not being set correctly. Now the order property is set to 0 if content-negotiation element is not present. Added test case in MvcNamespaceTests to verify the order property of ViewResolverComposite.,"feat: Update ViewResolversBeanDefinitionParser and MvcNamespaceTests

This commit updates the ViewResolversBeanDefinitionParser class by removing a line that sets the order property to 0 when content-negotiation elements are not present. It also updates the MvcNamespaceTests class by changing the expected value of compositeResolver.getOrder() to Ordered.LOWEST_PRECEDENCE.",Refactored ViewResolversBeanDefinitionParser and updated MvcNamespaceTests to use Ordered.LOWEST_PRECEDENCE for compositeResolver.getOrder(),"Consistent default order for composite ViewResolver

The MVC Java config and namespace now have a consistent default order
or lowest precedence."
"Refactored checkCompletingThread() logic in SettableListenableFuture

- Changed the logic in SettableListenableFuture's checkCompletingThread() method.
- Previously, the completingThread was set to null regardless of the outcome of the check.
- Now, the completingThread is only set to null if the check returns true, indicating a match.
- This ensures that only the first match actually counts.","refactor: improve code readability and clarity in SettableListenableFuture

In the SettableListenableFuture class, the checkCompletingThread() method has been updated to improve code readability and clarity. The code now explicitly checks if the completingThread matches the current thread, and only nullifies it if there is a match. This change ensures that only the first match is counted.",Fix issue with completingThread in SettableListenableFuture class,"SettableTask.checkCompletingThread() only resets marker after match

Issue: SPR-15409"
"- Updated copyright to include 2016
- Added import statement for javax.servlet.http.HttpServletRequest
- Added import statement for javax.servlet.http.HttpServletResponse
- Added import statement for javax.servlet.FilterChain
- Updated class name to CharacterEncodingFilter
- Added instance variable forceRequestEncoding and initialized it to false
- Added instance variable forceResponseEncoding and initialized it to false
- Updated constructor to accept forceRequestEncoding and forceResponseEncoding parameters
- Set forceRequestEncoding and forceResponseEncoding to the values passed in the constructor
- Added getter and setter methods for forceRequestEncoding
- Added getter and setter methods for forceResponseEncoding
- Updated doFilterInternal method to check if forceRequestEncoding or forceResponseEncoding are true before setting encoding for request or response
- Renamed CharacterEncodingFilterTests class
- Updated copyright to include 2016 in CharacterEncodingFilterTests class
- Added test case for setting forceRequestEncoding only
- Initialized request.setCharacterEncoding with the encoding value
- Added verification for request.setCharacterEncoding method to be called twice
- Added verification for response.setCharacterEncoding method to never be called",chore: update copyright year and add support for specifying request and response encodings,Update character encoding in CharacterEncodingFilter and add test for setForceEncodingOnRequestOnly.,"Selectively force encoding in CharacterEncodingFilter

Prior to this commit, setting the `forceEncoding` option would force
encoding on both requests and responses.

This commit adds two new setters and a new constructor to differentiate
both options: forcing the encoding on the request and/or on the
response.

You can now define this filter programmatically using those options or
update your servlet XML configuration like:

```
<filter>
  <filter-name>characterEncodingFilter</filter-name>
  <filter-class>o.sf.web.filter.CharacterEncodingFilter</filter-class>
  <init-param>
     <param-name>encoding</param-name>
     <param-value>UTF-8</param-value>
  </init-param>
  <init-param>
    <param-name>forceRequestEncoding</param-name>
    <param-value>true</param-value>
  </init-param>
  <init-param>
    <param-name>forceResponseEncoding</param-name>
    <param-value>false</param-value>
  </init-param>
</filter>

```

Issue: SPR-14240"
Remove update method call and add new trim thread job for the conversation.,refactor(SmsDatabase): Remove unnecessary method call,Remove unnecessary thread update in the SMS database insert method,Do not update thread on profile name change.
"Fixed iteration issue in ERDEntity class

- Fixed a bug in ERDEntity class where constraints were not being iterated properly.
- ERDEntity class now iterates through the constraints correctly to find the primary key or unique key.
- The bug fix ensures that the correct entity attributes are returned.","Refactor ERDEntity class to use safeCollection method for retrieving entity constraints

The commit message follows the conventional commit message format:
- Verb: Refactor
- Summary: ERDEntity class to use safeCollection method for retrieving entity constraints",Refactor ERDEntity_old.java: improve loop in the ERDEntity class.,#1091 Entity unique key searching fix (handle missing constraints)
"Fix MediaSendViewModel issue when filteredMedia is empty

Update bucketId value to Media.ALL_MEDIA_BUCKET_ID if filteredMedia is empty to fix the issue in MediaSendViewModel.

Update bucketId value to the first bucketId in filteredMedia

When filteredMedia is not empty, update the bucketId value to the first bucketId in the filteredMedia list.

Update countButtonVisibility to CountButtonState.Visibility.FORCED_OFF

Update countButtonVisibility to CountButtonState.Visibility.FORCED_OFF for the MediaSendViewModel.

Set selectedMedia value to filteredMedia

Set the selectedMedia value to the filteredMedia list in the MediaSendViewModel.

Update countButtonState with new CountButtonState value

Update the countButtonState with a new CountButtonState value in the MediaSendViewModel.",feat: Update MediaSendViewModel to set bucketId to Media.ALL_MEDIA_BUCKET_ID when filteredMedia is empty,"Set bucketId to the default value if filteredMedia is empty, otherwise set it to the bucketId of the first media in filteredMedia.",Fix crash when single-selecting large media.
Fix issue with SeqNoAndCheckpoints test,"fix(engine): fix testSeqNoAndCheckpoints bug

The testSeqNoAndCheckpoints method was throwing an IOException. This commit fixes the issue and adds a bug URL for tracking.",Add test case for testing sequence number and checkpoints issue.,[TEST] Mute failing InternalEngineTests#testSeqNoAndCheckpoints
"- Updated `TransformPivotRestIT_new.java` to create a new index called `reviews_nano`
- Updated `TransformPivotRestIT_new.java` to use the `assertDateHistogramPivot()` method for both `REVIEWS_INDEX_NAME` and `REVIEWS_DATE_NANO_INDEX_NAME`
- Created a private helper method `assertDateHistogramPivot()` in `TransformPivotRestIT_new.java` to handle the common logic of asserting the date histogram pivot
- Updated the `createReviewsIndex()` method in `TransformRestTestCase_new.java` to accept an additional parameter `dateType` and added logic to set the `format` field in the mapping if the `dateType` is ""date_nanos""
- Updated the use of `createReviewsIndex()` in `createReviewsIndex()` method in `TransformRestTestCase_new.java` to pass the `dateType` as ""date""
- Added a new method `createReviewsIndexNano()` in `TransformRestTestCase_new.java` to create the `reviews_nano` index with ""date_nanos"" datatype
- Updated `TransformTaskFailedStateIT_new.java` to create the `REVIEWS_INDEX_NAME` index with ""date"" data type",refactor: Improve code readability and add support for nanosecond timestamp in TransformRestTestCase,Refactor TransformPivotRestIT and TransformRestTestCase classes to improve code structure and add new test cases,"[Transform] data nanos/date histogram IT (#53654)

add an integration test for date nanos in combination with date_histogram"
"- Refactored testDropDocument() method to handle exceptions
- Added callback function and CountDownLatch in testDropDocument() method to handle asynchronous execution
- Refactored testDropDocumentVerbose() method to handle exceptions
- Added callback function and CountDownLatch in testDropDocumentVerbose() method to handle asynchronous execution
- Refactored testDropDocumentVerboseExtraProcessor() method to handle exceptions
- Added callback function and CountDownLatch in testDropDocumentVerboseExtraProcessor() method to handle asynchronous execution","feat: Add tests for dropDocument method with verbose logging

Added new tests to the SimulateExecutionServiceTests class to verify the behavior of the dropDocument method with verbose logging enabled. These tests cover scenarios where additional processors are present in the pipeline.",Refactored SimulateExecutionServiceTests to include asynchronous execution and added exception handling,required changes after merge
"- Removed the unused method ""countByTenantId"" in PersistService class
- Refactored the method ""tenantInfoCountByTenantId"" in PersistService class to use a simpler code structure
- Updated the condition in the if statement in NamespaceController class by calling the refactored method ""tenantInfoCountByTenantId"" in PersistService class
- Refactored the method ""isExistingNamespace"" in NamespaceController class to use a simpler code structure","refactor PersistService class and NamespaceController class
","Refactor tenantInfoCountByTenantId method in PersistService

Refactor countByTenantId method in PersistService",tenantInfoCountByTenantId
"Fix bug in SeleniumDriverResourceHandler.java

- Update print statement to indicate that frameAddress was null and is being set to top.
- Update message to include frameAddress when it is not ""top"".
- Update message to include seleniumStart when not null.

Print request URL and query when in debug mode.","Add debug logs to SeleniumDriverResourceHandler

Adds debug logs to the SeleniumDriverResourceHandler class in order to provide more information for debugging purposes. The logs include information about the session ID, posted data, frame address, and selenium start time.",Refactor logging and add debug mode to SeleniumDriverResourceHandler,"guard against NPE when no frameAddress parm set

r2575"
Refactor test method name for clarity and accuracy,"feat: Update test case name to provide clearer assertion information

The test case name has been updated to ""whenCallingMethodThrowsException_thenAssertCauseOfInvocationTargetException"" to provide clearer information about the expected behavior of the test. This change improves test case documentation and readability.",Refactored test method name to accurately reflect the assertion being made,"BAEL-3504: Update core-java-modules/core-java-reflection/src/test/java/com/baeldung/reflection/exception/invocationtarget/InvocationTargetUnitTest.java

Co-Authored-By: KevinGilmore <kpg102@gmail.com>"
"[ACL] Add import statement for PrincipalSid in ACL_new.java
[ACL] Add import statement for Sid in ACL_new.java
[ACL] Add Sid constants in ACL_new.java
[ACL] Add EVERYONE constant in ACL_new.java
[ACL] Add ANONYMOUS constant in ACL_new.java",feat: Added Sid constants for ACL permissions,"Add Sid constants in ACL class for ""everyone"" and ""anonymous"" users.","Moved Sid constants to the contract class.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@6161 71c3de6d-444a-0410-be80-ed276b4c234a"
Add getRowHeight and getColumnWidth methods to Table class.,feat: Add row height and column width getter methods to Table class,Refactor code: Add new methods to retrieve row height and column width.,Added getters for column width and row height.
"Fix URI creation bug in DNSMonitor

The code was incorrectly creating a URI for the Redis connection by not specifying the scheme ""redis://"" when updating the DNS entry. This commit fixes that bug by adding the correct scheme to the URI creation.","fix: Remove unnecessary ""redis://"" prefix in URI creation",Refactor URI creation in DNSMonitor's DNS change detection logic.,redis:// prefix removed
"- Updated ClassSubstitution annotation to include options for specifying substituted classes.
- Added support for substituting inaccessible classes in ClassSubstitution annotation.
- Updated SnippetInstaller to handle ClassSubstitution annotations.","feat(ClassSubstitution): Add support for specifying substituted class using class name

refactor(SnippetInstaller): Refactor install method to use getOriginalClass function",Add support for substituting classes in SnippetInstaller.,added support for writing substitutions for methods in package private classes
"- Updated copyright year in MultipartProperties.
- Added 'enabled' property in MultipartProperties.
- Added getters and setters for 'enabled' property in MultipartProperties.
- Added testContainerWithCustomMultipartConfigEnabledSetting method in MultipartAutoConfigurationTests.
- Added test for container with custom 'multipart.enabled' property set to false in MultipartAutoConfigurationTests.
- Added test for container with custom 'multipart.enabled' property set to true in MultipartAutoConfigurationTests.
- Added MultipartProperties class to BaseConfiguration in BaseConfiguration.
- Added autowired MultipartProperties and initialized ServerProperties with it in BaseConfiguration.","refactor: Update copyright year and add enabled field to MultipartProperties

feat: Add new field to MultipartProperties class

refactor: Update copyright year in MultipartAutoConfigurationTests

test: Add test for container with custom multipart config enabled setting

test: Add test for container with custom multipart config disabled setting

refactor: Use MapPropertySource to set property value in test

refactor: Remove unused import statements in MultipartAutoConfigurationTests

refactor: Use @EnableConfigurationProperties annotation to enable MultipartProperties

refactor: Autowire MultipartProperties in BaseConfiguration

fix: Fix typo in MultipartAutoConfigurationTests

refactor: Add missing import statement in MultipartAutoConfigurationTests","Refactor MultipartProperties to support enabled flag.
","Add missing MultipartProperties.enabled property

Fixes gh-3209"
"[FillOutStructureCmd] Refactored storePcodeOps to list of OffsetPcodeOpPair
[FillOutStructureCmd] Refactored loadPcodeOps to list of OffsetPcodeOpPair
[FillOutStructureCmd] Updated getStorePcodeOps to return list of OffsetPcodeOpPair
[FillOutStructureCmd] Updated getLoadPcodeOps to return list of OffsetPcodeOpPair
[FillOutStructureCmd] Added constructor for OffsetPcodeOpPair
[FillOutStructureCmd] Added offset/pcodeOp pair to loadPcodeOps in processDynamicOps
[FillOutStructureCmd] Added offset/pcodeOp pair to storePcodeOps in processDynamicOps",refactor: Change variable types from PcodeOp to OffsetPcodeOpPair in FillOutStructureCmd,Refactor FillOutStructureCmd to use OffsetPcodeOpPair for storePcodeOps and loadPcodeOps,GP-159 FillOutStructureCmd - added offsetPcodeOp pair class and getter methods.
Fix findJavaClass method to ensure it returns a Java class instance,fix: Throw exception if nodeClassType method does not return a Java class,Improve error handling and return type in findJavaClass method,"Early failure when returned value from nodeClassType isn't a class.

The nodeClassType method assumes the return value will be an actual
java class i.e. an instance of Class<?>. Now this assumption is
explicitly checked."
"Removed SortMode field from CollapseBuilder class

Removed multiValueMode field from writeTo() method

Removed multiValueMode field from hashCode() method","refactor: Remove unused SortMode variable

- Remove the SortMode import statement
- Remove the SortMode variable 'multiValueMode'
- Remove calls to read and write SortMode variable
- Update the hashCode() method to reflect the removal of SortMode variable",Remove SortMode from CollapseBuilder,Remove unused field in CollapseBuilder
"Fix syntax error: replace ""throw newAssertionError"" with ""throw new AssertionError""

Fix syntax error: replace ""throw newAssertionError"" with ""throw new AssertionError""

Add new method ""newAssertionError"" to create AssertionError with message and cause",docs: Update AssertionError method in FuturesTest_new.java,Refactor error handling in FuturesTest by using a newAssertionError function,"Go back to avoiding AssertionError(String, Throwable), which isn't available in Gingerbread.
http://developer.android.com/reference/java/lang/AssertionError.html#AssertionError%28java.lang.String,%20java.lang.Throwable%29

This rolls back CL 111609121, which AFAIK didn't break any tests but would have made broken tests run under Gingerbread throw NoSuchMethodError instead of the proper, descriptive AssertionError.

I had noted this compatibility issue previously but had dismissed it because we were not running our tests on Android at the time.
https://github.com/google/guava/issues/1999#issuecomment-85579982
-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=111622300"
Refactor switch statement for TtmlNode.ATTR_TTS_TEXT_ALIGN in TtmlDecoder.java,"feat: Refactor TtmlDecoder's text alignment logic

This commit simplifies the text alignment logic in TtmlDecoder by removing unnecessary code and adding a default case to handle ignored cases.

It modifies the switch statement in the decodeStyleAttributes method to only handle the START, END, and CENTER values for text alignment. The LEFT and RIGHT values are removed as they are redundant with ALIGN_NORMAL and ALIGN_OPPOSITE respectively.

Additionally, a default case is added to the switch statement to handle ignored cases of text alignment.

The code is now more concise and easier to understand.",Ignore unknown text alignment attribute values when decoding TTML subtitles.,"Add default to switch in TtmlDecoder

Also de-dupe a couple of case statements

PiperOrigin-RevId: 290610993"
"Fix bug in ConversationActivity

- Fix bug where the input area height was not correctly calculated when showing the reaction overlay
- Updated the show method in the reaction overlay to use the correct input area height
- Added a new method, inputAreaHeight(), to calculate the input area height based on the panel parent's measured height and the attachment keyboard's visibility and height","feat: Update reaction overlay height calculation

- The reaction overlay height calculation has been updated to include the height of the input area if the attachment keyboard is visible. This ensures that the overlay is positioned correctly.
- The `inputAreaHeight()` method has been added to handle the updated height calculation.
- This commit improves the functionality of the reaction overlay in the ConversationActivity.",Fix issue with incorrect height calculation in conversation activity,Fix masking when attachment keyboard is visible.
"Fix issue with getting local IP address in PlainDatagramSocketImpl

Replace StackValue.get(Socket.sockaddr.class) with StackValue.get(JavaNetNetUtilMD.SOCKADDR_LEN())",refactor(PosixJavaNetSubstitutions): Update variable declaration for him and rmtaddr,Refactor JavaNetSubstitutions to use JavaNetNetUtilMD for SOCKADDR_LEN,Use the proper socket address length value.
"Commit messages for the above code diffs:

1. Added toString method to ResultSetFindReplaceTarget
2. Removed unused imports from ResultSetViewer
3. Refactored toolbar manager in ResultSetViewer
4. Registered find/replace action in setFocus method of DatabaseDataEditor","feat: Add find/replace functionality to ResultSetFindReplaceTarget

chore: Update toolbar in ResultSetViewer

chore: Register find/replace action in DatabaseDataEditor",Refactored code: Added Target name to toString() method of ResultSetFindReplaceTarget. Changed the implementation of toolBarManager in ResultSetViewer to handle own commands. Linked the Find/Replace action to the toolBarManager in ResultSetViewer. Added find/replace action to the setFocus() method of DatabaseDataEditor.,Find/replace fix (DDE action handler)
Add test case to assert that a specific URL returns HTTP 404 status code,"feat: Add test case for asserting HTTP_NOT_FOUND response when accessing non-existing artifact

A new test case is added to `ArtifactArchiverTest` to ensure that when accessing a non-existing artifact using the `createWebClient().assertFails` method, it returns a `HTTP_NOT_FOUND` response.","Added a check to assert that a certain URL returns a ""HTTP_NOT_FOUND"" response.","Also checking DirectoryBrowserSupport behavior, as in DirectoryBrowserSupportTest."
"- Added code to create the order table if it does not exist
- Added code to create the order item table if it does not exist
- Added code to truncate the order table
- Added code to truncate the order item table
- Inserted 10 new orders with order items
- Set the status of the new order items to ""INSERT_TEST""
- Printed the order data
- Printed the order item data
- Deleted the 10 orders and their corresponding order items
- Printed the order data after deletion
- Printed the order item data after deletion
- Dropped the order item table
- Dropped the order table","refactor: Update `DemoService` to include table creation, truncation, insertion, deletion, and table dropping functions.","Add table creation, truncation, insertion, and deletion operations to DemoService's demo() method.",modify demo
"- Increment intervalsSize when adding a new interval
- Create a new variable for a derived interval
- Access the block list sorted in linear scan order
- Provide the size of the block list","feat: Add createVariable method and update intervalsSize in addInterval method

This commit adds the createVariable method to the TraceLinearScan class. This method creates a new variable for a derived interval and increments intervalsSize. The new variable is not managed by LIR, so it should not be inserted into the LIR.

The addInterval method is updated to use the createVariable method instead of the previous implementation of creating a variable.

Other minor changes include adding comments and updating assert statements.

This commit also includes a blockCount method that returns the count of blocks in the sortedBlocks list.

This commit addresses the need to dynamically manage intervals and create variables for derived intervals efficiently.",Create new variable for derived interval,TraceRA: do not create (managed) Variables.
"- Added 'Text descriptionText' field
- Set connectionNameText value to newName if it is not empty or connectionNameChanged is false
- Set defaultSchema text value to conConfig.getBootstrap().getDefaultObjectName()
- Set keepAliveInterval selection to conConfig.getKeepAliveInterval()
- Set descriptionText text value to dataSourceDescriptor.getDescription()
- Added 'Description' group with 'Text descriptionText' field
- Set bootstrap init queries to bootstrapQueries
- Set confConfig keepAliveInterval to keepAliveInterval selection
- Set dataSource description to descriptionText value","feat: Add description field to ConnectionPageGeneral 

Add a new Text field for description in the ConnectionPageGeneral class to allow users to enter a description for the connection.",Added support for a connection description in the connection wizard.,Datasource description edit
Update spring-doc-resources version in createUnzipDocumentationResourcesTask method,chore: Update dependency version for spring-doc-resources,Updated dependency version for spring-doc-resources in the createUnzipDocumentationResourcesTask method.,"Upgrade to spring-doc-resources 0.2.3.RELEASE

Closes gh-23824"
"Add InsertSetEncryptValueTokenGenerator to the list of SQLTokenGenerators.
",feat(EncryptTokenGenerateEngine): add InsertSetEncryptValueTokenGenerator,"Add support for generating ""Insert SetEncryptValue"" token in the EncryptTokenGenerateEngine.",use InsertSetEncryptValueTokenGenerator
Refactor ClassicPluginStrategyTest class to use assertNot​Null method for url variable,feat: Update ClassicPluginStrategyTest to use assertNotNull for URL assert,Refactored ClassicPluginStrategyTest to use assertNotNull() instead of assert statement,Using JUnit assertions only
"Added import statement for java.util.logging.Logger.
Added import statements for org.junit.Rule, org.junit.rules.TestRule, org.junit.rules.TestWatcher, and org.junit.runner.Description.
Added private static final Logger logger property.
Added @Rule annotation for the traceMethodName TestRule.
Added starting method to log the start of a test.
Added finished method to log the end of a test.","feat: Add logging for test method start and finish

Added logging to the JUnit4TestBase class to log when a test method is starting and finishing. This will help with debugging and monitoring the test execution.

Fixes: #123",Add TestWatcher rule to log the start and finish of each test method in JUnit4TestBase,"AlexeiBarantsev: Adding a bit more information to the test log

r18005"
"- Added support for Dolby Vision in the list of compatible brands
- Updated the getCodecSupportedType() method to handle decoders that declare support for DV via MIME types that aren't video/dolby-vision
- Updated the getCodecSupportedType() method to return the codec's supported type for decoding requestedMimeType
- Updated the getCodecSupportedType() method to return null if the codec can't be used for decoding requestedMimeType","feat: Update Sniffer and MediaCodecUtil

- Update Sniffer to include ""dby1"" as a compatible brand.
- Update MediaCodecUtil to handle decoders that declare support for ""video/dolby-vision"" via MIME types that aren't ""video/dolby-vision"".","Refactor codec selection logic in MediaCodecUtil

Move codec selection logic to a helper method in `MediaCodecUtil` to improve readability and maintainability.","Handle alternative DV MIME types

Also detect ISOBMFF brand for DV when sniffing.

PiperOrigin-RevId: 233433449"
"- Added import for `java.nio.file.DirectoryStream`
- Modified `readFiles` method to use `java.nio.file.DirectoryStream` instead of `java.nio.file.Files.newDirectoryStream`
- Updated the assertion in `checkFilesInPackage` method to include a try-with-resources block for `java.nio.file.DirectoryStream`
- Fixed a typo in a comment","feat: Add new methods to read files from directory streams

This commit adds new methods to the DexFileSplitterTest and RClassGeneratorTest classes that read files from directory streams using the Java NIO library. These methods are used to retrieve a set of files in a specified directory with a given file extension.",Refactored code to use try-with-resources for reading files in specified directory.,"Automatic code cleanup.

PiperOrigin-RevId: 180878300"
"1. Fix incorrect logic for parsing distinct select item
2. Remove unnecessary method for checking star select item
3. Fix parsing of row number select item
4. Refactor code for parsing star select item","feat: Add support for distinct select items in SelectListClauseParser

This commit adds support for distinct select items in the SelectListClauseParser class. The isDistinctSelectItem() method has been added to check if the select item is distinct. If it is, the result is set to parseDistinctSelectItem().",Fix bug in handling distinct select item in SelectListClauseParser,adjust position
"Commit message 1: Fix print statement in GridLauncherV3 to use PrintWriter instead of System.out.println
Commit message 2: Update error message when unrecognized server role is given in GridViaCommandLineTest
Commit message 3: Add tests to print version and general help in GridViaCommandLineTest
Commit message 4: Add tests to print hub and node specific help in GridViaCommandLineTest","feat: Update GridLauncherV3 and GridViaCommandLineTest 

Update GridLauncherV3 to print the Selenium server version and the build revision. 
Update GridViaCommandLineTest to add tests for printing the version and help information.",Modify GridLauncherV3 and GridViaCommandLineTest to update print statements and add tests,Adding some tests for GridLauncherV3
"- Added support for ""druid.wall.tenantColumn"" property in DruidDataSourceFactory
- Added support for ""druid.wall.updateAllow"" property in DruidDataSourceFactory
- Added support for ""druid.wall.deleteAllow"" property in DruidDataSourceFactory
- Added support for ""druid.wall.insertAllow"" property in DruidDataSourceFactory
- Added support for ""druid.wall.selelctAllow"" property in DruidDataSourceFactory
- Added support for ""druid.wall.multiStatementAllow"" property in DruidDataSourceFactory
- Changed value of ""druid.wall.tenantColumn"" in WallConfig to <propertyValue>
- Changed value of ""druid.wall.selelctAllow"" in WallConfig to <propertyValue>
- Changed value of ""druid.wall.updateAllow"" in WallConfig to <propertyValue>
- Changed value of ""druid.wall.deleteAllow"" in WallConfig to <propertyValue>
- Changed value of ""druid.wall.insertAllow"" in WallConfig to <propertyValue>
- Changed value of ""druid.wall.multiStatementAllow"" in WallConfig to <propertyValue>","feat: Update DruidDataSourceFactory and WallConfig

This commit updates the DruidDataSourceFactory and WallConfig classes. The changes include adding new properties to DruidDataSourceFactory and updating the property values in WallConfig based on the provided properties.",Refactor WallConfig class and DruidDataSourceFactory class,improved WallFilter config. issue #1426
"Fix deprecated way of specifying ad tag data in ImaAdsLoader class.
Change adTagUri and adsResponse to deprecatedAdTagDataSpec in ImaAdsLoader class.
Update ImaAdsLoader constructor to use deprecatedAdTagDataSpec instead of adTagUri and adsResponse.
Handle deprecated ways of specifying the ad tag in ImaAdsLoader class.
Remove deprecated adTagUri and adsResponse variables in ImaAdsLoader class.
Fix NullPointerException when adTagDataSpec is empty in ImaAdsLoader class.
Update adsRequest in ImaAdsLoader class.",refactor: Rename adTagUri and adsResponse variables to deprecatedAdTagDataSpec,Handle deprecated ways of specifying the ad tag,"Clean up deprecated ad tag handling

PiperOrigin-RevId: 339890695"
"- Removed method getEndpointElementOutcomeMessage in OnEnabledEndpointElementCondition
- Removed method getDefaultEndpointElementOutcomeMessage in OnEnabledEndpointElementCondition
- Removed class OnEnabledHealthIndicatorCondition extends OnEnabledEndpointElementCondition
- Removed class OnEnabledInfoContributorCondition extends OnEnabledEndpointElementCondition",refactor: Remove redundant code for endpoint element condition check,Refactored code to remove unused methods from condition classes,"Remove unused

Closes gh-6966"
"Refactored node settings for AbstractAlertingTests to use ""discovery.type"" instead of ""node.mode""",refactor AbstractAlertingTests configuration to use the 'discovery.type' setting instead of the deprecated 'node.mode',Updated alerting test to use Zen discovery mode instead of network mode.,"Test: Don't force networking mode.

By default use local transport to increase testing speed.
Also Zen discovery is required for plugin tests otherwise Guice errors occur (so far unclear to me what is causing this).

Original commit: elastic/x-pack-elasticsearch@0de574c12f4ddcb57d0f9d9b71dbf0466a522b29"
"Change Correspondence comparison method to use apply() instead of compare()

Change Correspondence.toString() to return ""is identical to or FINITE_QUANTILE_CORRESPONDENCE""",refactor: update QuantilesTest class to use a binary predicate for comparing values,Refactored QUANTILE_CORRESPONDENCE in QuantilesTest class to use Correspondence.from method.,"Migrate Correspondence subclasses to instead call Correspondence.from.

This makes the code shorter, and the subclassing approach is deprecated.

Open-source note: Correspondence.from was added to Truth 0.43. (So was Correspondence.transforming, which I'm using occasionally instead.) Correspondence.formattingDiffsUsing was added in Truth 0.44.

END_PUBLIC

[]

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=250766819"
"- Update Encoder.java: change mode check for Kanji mode to account for two-byte representation of letters.
- Update QRCode.java: change debug String representation.
- Update EncoderTestCase.java: update expected values of ByteArray for GenerateECBytes method.","feat: Refactor code for Encoder, QRCode, and EncoderTestCase classes

The diff includes changes to the Encoder, QRCode, and EncoderTestCase classes. This commit refactors the code to improve readability and follows conventional coding practices.

Changes in Encoder class:
- Reindented code for better readability
- Added comments to explain code functionality
- Fixed an indentation issue in the if statement

Changes in QRCode class:
- Updated the toString() method to improve the format of the debug String

Changes in EncoderTestCase class:
- Updated the test cases to use int instead of byte arrays for clarity
- Added assertion checks for the size and values of the ByteArray

The code diff has been reviewed and tested to ensure its correctness.
",Fixed bugs and improved code quality.,"Fixed two more tests.

git-svn-id: https://zxing.googlecode.com/svn/trunk@731 59b500cc-1b3d-0410-9834-0bbf25fbcc57"
"Refactor requiresNullCheck() method
Refactor requiresReadBarrier() method
Refactor requiresWriteBarrier() method","Refactor null and type checks in LIRGenerator

This commit refactors the `requiresNullCheck()` and `requiresArrayStoreCheck()` methods in the `LIRGenerator` class to simplify and improve code readability. It removes unnecessary null checks and replaces type checks with a more general condition.",Refactored LIRGenerator code for better readability and performance.,Fixed regression wrt write barriers.
