zero_prompt1,zero_prompt2,zero_prompt3,references
Modified FillOutStructureCmd to use OffsetPcodeOpPair,"Changed the data structure used to store the PcodeOps used for storing and loading data in a variable, from a List<PcodeOp> to a List<OffsetPcodeOpPair>. This change allows more efficient access to the PcodeOps and their associated offsets.",Optimized equals/hashCode handling in ResolvableType and Added OffsetPcodeOpPair class to create pairs between offsets and related PcodeOps in FillOutStructureCmd,GP-159 FillOutStructureCmd - added offsetPcodeOp pair class and getter methods.
Fix bug in findJavaClass method in ProtocolImpl,Ensure findJavaClass method returns a Java class,Fix bug in findJavaClass method in ProtocolImpl,"Early failure when returned value from nodeClassType isn't a class.

The nodeClassType method assumes the return value will be an actual
java class i.e. an instance of Class<?>. Now this assumption is
explicitly checked."
"Refactor CollapseBuilder, remove unused multiValueMode variable","Revert changes made to CollapseBuilder, fixed upstream meanwhile",Remove unnecessary code and fix minor bug in CollapseBuilder,Remove unused field in CollapseBuilder
Updated the code to use a custom AssertionError constructor that works in GWT 2.6.1.,Added tests for new interop messages and fixed a compilation error in the code.,Updated code to fix the build issue,"Go back to avoiding AssertionError(String, Throwable), which isn't available in Gingerbread.
http://developer.android.com/reference/java/lang/AssertionError.html#AssertionError%28java.lang.String,%20java.lang.Throwable%29

This rolls back CL 111609121, which AFAIK didn't break any tests but would have made broken tests run under Gingerbread throw NoSuchMethodError instead of the proper, descriptive AssertionError.

I had noted this compatibility issue previously but had dismissed it because we were not running our tests on Android at the time.
https://github.com/google/guava/issues/1999#issuecomment-85579982
-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=111622300"
Refactor TtmlDecoder's text alignment handling.,Refactor text alignment handling in TtmlDecoder.,Refactor text alignment handling to remove unnecessary code duplication and improve readability,"Add default to switch in TtmlDecoder

Also de-dupe a couple of case statements

PiperOrigin-RevId: 290610993"
Refactor reaction overlay to use input area height.,"Refactor reaction overlay in ConversationActivity, move inputAreaHeight() logic to a separate method.",Refactor code to display reaction overlays in ConversationActivity,Fix masking when attachment keyboard is visible.
Updated references to Socket.sockaddr in PosixJavaNetSubstitutions,"Refactor NioSocketChannel.doWrite() for faster MessageList iteration
Refactor Target_java_net_PlainDatagramSocketImpl methods for Socket.sockaddr instantiation",Optimize local IP address retrieval in PlainDatagramSocketImpl.,Use the proper socket address length value.
"Reuse opened result set editor
Link to standard Find/Replace action
Update find/replace action handler on editor activation",Handle find/replace action in ResultSetViewer and DatabaseDataEditor,Handle Find/Replace action in database data editor,Find/replace fix (DDE action handler)
adds HTTP_NOT_FOUND assertion in ArtifactArchiverTest,adds test for checking if artifact is not found,add assertFails test for missing artifact URL,"Also checking DirectoryBrowserSupport behavior, as in DirectoryBrowserSupportTest."
[Refactor] Improve DemoService demo() method to handle order and order items,[Refactor] Update DemoService demo method,[Demo] Updated DemoService to include table operations and print data,modify demo
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,TraceRA: do not create (managed) Variables.
#6158 Added functionality to set connection description,#6147 Connection description configuration added,#6147 Updating connection description and handling multiple columns with the same name,Datasource description edit
Update spring-doc-resources version to 0.2.3.RELEASE,Update spring-doc-resources version in AsciidoctorConventions,Update spring-doc-resources version to 0.2.3.RELEASE,"Upgrade to spring-doc-resources 0.2.3.RELEASE

Closes gh-23824"
"#1374, add InsertSetEncryptValueTokenGenerator","#1518, add InsertSetEncryptValueTokenGenerator","#1518, fix EncryptTokenGenerateEngine",use InsertSetEncryptValueTokenGenerator
fixed assertion and added null check in test,updated the test to fix a regression,fixed an assertion test,Using JUnit assertions only
"SeleniumDev: Restoring the ability to trace test method names during test execution

r16054","SeleniumTestRunner: Add logging for test method names

r16054","JUnit4TestBase: Added logging of test method names

r16053","AlexeiBarantsev: Adding a bit more information to the test log

r18005"
Fix bug where getCodecSupportedType() does not return the correct supported type for decoding requestedMimeType.,Make code cleaner by removing duplicate comparison block.,Refactor code to improve readability and maintainability.,"Handle alternative DV MIME types

Also detect ISOBMFF brand for DV when sniffing.

PiperOrigin-RevId: 233433449"
Refactor JUnit test to use a utility method and fix code formatting in RClassGeneratorTest,Refactor tests using Java's NIO classes,Refine tests using Hamcrest and refactor JUnit rule,"Automatic code cleanup.

PiperOrigin-RevId: 180878300"
update isDistinctSelectItem condition,refactor isStarSelectItem function,Fix isDistinctSelectItem method,adjust position
"refactor print statement to use out.println
commit message for the diff: add startsWith assertion to GridViaCommandLineTest
commit message for the diff: add version printing functionality
commit message for the diff: add general help printing functionality
commit message for the diff: add hub help printing functionality
commit message for the diff: add node help printing functionality",rename buildInfo.getBuildRevision() to buildInfo.getBuildRevision(),rename BeginEnqueue to Enqueueing,Adding some tests for GridLauncherV3
"Updating WallConfig properties. Setting tenantColumn, selelctAllow, updateAllow, deleteAllow, insertAllow, and multiStatementAllow.","Updating WallConfig to read properties for new configuration options. Adding support for tenantColumn, selelctAllow, updateAllow, deleteAllow, insertAllow, and multiStatementAllow.

r5421","Updating WallConfig to read properties and set values accordingly. Adding support for new properties: druid.wall.tenantColumn, druid.wall.selelctAllow, druid.wall.updateAllow, druid.wall.deleteAllow, druid.wall.insertAllow, druid.wall.multiStatementAllow. 

r5421",improved WallFilter config. issue #1426
"Refactor ImaAdsLoader to handle deprecated ad tag

Fixes #455.","Refactor deprecated ad tag specifications in ImaAdsLoader

Refactor the code to handle deprecated ways of specifying the ad tag by introducing the `deprecatedAdTagDataSpec` variable. 

Fixes #315.","Deprecated ad tag handling in ImaAdsLoader

Fixes #487.","Clean up deprecated ad tag handling

PiperOrigin-RevId: 339890695"
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Remove unused

Closes gh-6966"
git-svn-id: http://code.alibabatech.com/svn/druid/trunk@1234,fix: change node mode to discovery type in AbstractAlertingTests,git-svn-id: http://code.alibabatech.com/svn/druid/trunk@616 b9813039-fb51-4c41-a8b9-e21c2acb5095,"Test: Don't force networking mode.

By default use local transport to increase testing speed.
Also Zen discovery is required for plugin tests otherwise Guice errors occur (so far unclear to me what is causing this).

Original commit: elastic/x-pack-elasticsearch@0de574c12f4ddcb57d0f9d9b71dbf0466a522b29"
Refactor QuantilesTest to use Correspondence.from() method for quantile correspondence,"Fixes a bug in the MonitoringIndexNameResolver where null was returned for filters, and updates the tests accordingly. Also fixes a typo in QuantilesTest.",Update QuantilesTest to use a more concise and readable Correspondence function,"Migrate Correspondence subclasses to instead call Correspondence.from.

This makes the code shorter, and the subclassing approach is deprecated.

Open-source note: Correspondence.from was added to Truth 0.43. (So was Correspondence.transforming, which I'm using occasionally instead.) Correspondence.formattingDiffsUsing was added in Truth 0.44.

END_PUBLIC

[]

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=250766819"
Refactor debug messages and remove unnecessary comments.,Remove unnecessary sysout statements,Remove unnecessary debug statements,"Fixed two more tests.

git-svn-id: https://zxing.googlecode.com/svn/trunk@731 59b500cc-1b3d-0410-9834-0bbf25fbcc57"
"Refactor LIRGenerator requiresNullCheck, requiresReadBarrier, and requiresWriteBarrierGetters","Refactor LIRGenerator requiresNullCheck, requiresReadBarrier, and requiresWriteBarrier methods","Refactor LIRGenerator's null check, bounds check, read barrier, and write barrier logic to improve code readability and maintainability",Fixed regression wrt write barriers.
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,Polish YAML tests
Fix comments and simplify code for calculating score in RedissonSortedSet,"fix comments and update exception handling in CompletionFieldStats and CompletionSuggester classes, refactor TopDocumentsCollector class, and remove unnecessary code in RedissonSortedSet class",Remove unnecessary math context and fix score calculation in RedissonSortedSet,Minor optimization
Add support for 'bundle://' protocol in FileResolver,Add support for handling bundle:// urls in FileResolver,Implements support for bundle:// urls in FileResolver,"Extend the FileResolver to support OSGi bundles

Add the bundle:// url scheme.

Signed-off-by: Clement Escoffier <clement.escoffier@gmail.com>"
Add support for copying bitmaps using native code if available. Update the fallback bitmap configuration for postprocessing.,"Fix import statement and use native code for bitmap copying if available

git-svn-id: https://github.com/facebook/fresco@63a605b 4ed17bf6-38f9-0310-ac23-a4100e5b4b2c","Fix image copying issue and update native code setup for improved performance

git-svn-id: https://fbsource.googlecode.com/svn/trunk@2150 501dbbed-d039-0489-9c1f-accf628ebafb","Change Bitmaps call into reflection

Reviewed By: defHLT

Differential Revision: D17314742

fbshipit-source-id: 1574df5d05d8e3cbbf0974c70109c529ce1049b2"
MatchDocIdSet: remove unused iterator field,Refactor MatchDocIdSet iterator implementation to simplify short-circuiting logic,MatchDocIdSet: Remove unused code and refactor shortCircuit() method,Removed shortCircuit in MatchDocIdSet since it is no longer used.
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Migrate ProxyStatusServlet to use our JSON and HttpRequests classes

This makes it easier to convert them to handlers, used
throughout the rest of the code base."
"Update HibernateTransactionManagerTests

Update the HibernateTransactionManagerTests class to remove deprecated code and fix compiler warnings.","Keep class HibernateTransactionManagerTests up-to-date

Update the HibernateTransactionManagerTests class to ensure it remains compatible with the latest changes and updates.","Refactor HibernateTransactionManagerTests

This commit refactors the HibernateTransactionManagerTests class by removing unused imports and suppressing warnings.",Suppress warnings in HibernateTransactionManagerTests
Refactor reportPolymorphicSpecialize in GraalTVMCI to remove redundant EXPERIMENTAL_SPLITTING variable,Remove unused variable and simplify condition in GraalTVMCI,Simplify conditional statement in reportPolymorphicSpecialize method in GraalTVMCI,"Re-read option in TVMCI every time.

Having it be static prevents runtime initialisation."
"Add double tap functionality to TouchDoubleTapTest.

Add double tap functionality to TouchDoubleTapTest by using the TouchActions
class to perform the double tap action on a given element.

-----------------------

Ignore unsupported operations for TouchFlickTest.

Ignore the TouchScreen operations for TouchFlickTest in the following browsers:
CHROME, FIREFOX, HTMLUNIT, IE, IPHONE, OPERA, and SELENESE.

-----------------------

Ignore unsupported operations for TouchLongPressTest.

Ignore the TouchScreen operations for TouchLongPressTest in the following browsers:
CHROME, FIREFOX, HTMLUNIT, IE, IPHONE, OPERA, and SELENESE.","Update TouchDoubleTapTest, TouchFlickTest, and TouchLongPressTest.

Update TouchDoubleTapTest, TouchFlickTest, and TouchLongPressTest to include 
the @Ignore annotation for unsupported operations and remove unnecessary 
sections and code.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=175803853",Mark TouchScreen operations as ignored and add handling for OP era specific ignore tags.,"StuartKnightley: Ignore Opera in touch tests.

r13481"
changed createAutomaticMappings method to use resultMap ID and column prefix as the map key,refactored createAutomaticMappings() function,Refactored createAutomaticMappings method,Removed on-liner method used in only one place
"Replaced deprecated IOUtils.LINE_SEPARATOR with System.lineSeparator()
Renamed boolean variable 'needsRecursiveInit' to 'hasDeclaredDefaultMethods'
Added assert statement to check if thisInterfKlass is an interface
Added CompilerAsserts.neverPartOfCompilation() to the constructInterfaceItable method
Added method hasDeclaredDefaultMethods() to return true if the interface has declared default methods, false otherwise","Replaced deprecated IOUtils.LINE_SEPARATOR with System.lineSeparator()

Refactored code to use System.lineSeparator() instead of IOUtils.LINE_SEPARATOR for improved compatibility and performance.",Replaced deprecated IOUtils.LINE_SEPARATOR with System.lineSeparator(),s/needsRecursiveInit/hasDeclaredDefaultMethods/g
"Added test for NetSocketInternal with TLS

Added test to handle secure cookie

Added test to handle http-only cookie",Add tests for handling secure and httpOnly cookies,Add tests for handling secure and http-only cookies,java: Adding two more cookie tests
change error description to warning when response time or threshold exceeds the configured values,Add warning description for average and error data in TopologyGraphConfigManager,Refactor error descriptions in the TopologyGraphConfigManager class to include warnings for certain thresholds,modify the cat topology item build
set PartialPooledByteBufAllocator as the allocator for DatagramSocketImpl's channel,set PartialPooledByteBufAllocator as the allocator for the DatagramSocketImpl to improve performance,"Fix pool ownership in DatagramSocketImpl and DatagramTest

Rename the `BeginEnqueue` class to `Enqueueing` in CompilationTask",DatagramSocket should use unpooled buffers - fixes #1554
"Add support for ZFS file system provisioner.

ZFSProvisioner extends FileSystemProvisioner and adds support for handling ZFS file systems.","[General] Update file system provisioner implementations

The file system provisioner implementations have been updated. The changes include:

1. In the ""Default"" provisioner implementation, the `Default` class was modified to remove the unused constructor. Additionally, a new `DescriptorImpl` class was added to provide the implementation details for the provisioner.

2. In the ""ZFS"" provisioner implementation, a new `DescriptorImpl` class was added to provide the implementation details for the provisioner.

These changes aim to improve the flexibility and functionality of the file system provisioners.","[JENKINS-58994] Refactor FileSystemProvisioner classes

In this commit, the code has been refactored to improve the organization and readability of the FileSystemProvisioner classes. The Default class has been moved to its own file and a new DescriptorImpl class has been added as an extension to provide custom behavior for the Default provisioner. The ZFSProvisioner class has also been updated to include its own DescriptorImpl extension. This refactoring improves the modularity and maintainability of the codebase.","Added DescriptorImpl

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@15918 71c3de6d-444a-0410-be80-ed276b4c234a"
removed unnecessary null check,simplified return statement to remove unnecessary null check,simplified null check in getName() method,Remove unnecessary null check
Initialize bundle host and add bundles only if it's the first time loading,"Add support for loading Ghidra scripts as system bundles

This commit adds support for loading Ghidra scripts as system bundles. The code now initializes the BundleHost and adds the scripts as system bundles when the provider is loaded.

Fixes gh-1145","Initialize BundleHost and add bundles to GhidraScriptComponentProvider

This commit initializes the BundleHost and adds bundles to the GhidraScriptComponentProvider. It also registers a listener for the BundleHost.",fix bundle status listing errors when adding two bundle status components
Refactor code to remove unnecessary sysout statements.,Remove unnecessary sysout statements,Optimize the code by removing unnecessary sysout statements,"Fix fallout from []: it broke ""blaze mobile-install"" when no --native_lib arguments were passed to the install script.

--
MOS_MIGRATED_REVID=99271033"
"Fix null pointer exception in extractShardId method

Fixes #16284","Refactor ShardUtils.extractShardId() method to use DirectoryUtils.getStoreDirectory()

Refactor DirectoryUtils.getStoreDirectory() method to try and extract a store directory out of a directory, taking into account the fact that a directory can be a filter directory or a compound directory.

Fixes #16190","Refactor code to extract store directory safely

Fixes #16110",try and extract store directory also if its wrapped in a compound dir
"[JENKINS-78456] Set Random seed for ResourceListTest

(cherry picked from commit 3661fa87650c038abc371ca3860f9e2683969ddd)","[JENKINS-30705] Reset cache for exact results in unittest

(cherry picked from commit 52f9172c69bf7983e385e5dce1d962110c8a5b0e)","[JENKINS-30705] Reset cache for exact results in unittest

(cherry picked from commit 52f9172c69bf7983e385e5dce1d962110c8a5b0e)","fixed bugs in the test case.


git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@6292 71c3de6d-444a-0410-be80-ed276b4c234a"
Fix visibility of indicator text for outgoing messages.,Fix display issue with indicator text on failed message status.,Fix layout issue on ConversationItem.,"fix failed incoming MMS regression

Fixes #4308
Closes #4334
// FREEBIE"
Update animation of play buttons to show or hide based on queue and duration,"Animate play buttons for improved user experience

Fixes issue #1837.","Refactor play button animation in VideoPlayerImpl

Issue #1071","Fix null pointer exception in play button method

When the play queue was null, and this method was called a null pointer
exception would be thrown. This change adds an additional check to see
if the play queue is not null before making additional changes."
Remove unnecessary removal of entry from entriesByLowerBound,Remove unnecessary line of code,Remove unnecessary code that was causing issues,"Remove a redundant statement in TreeRangeMap.remove().

Fixes #2167
-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=138184740"
Use datum in new raft processor to serialize old data,Use datum in new raft processor to compatible old data,Refactored PersistentServiceProcessor and RaftPeerSet classes to use the Datum class and made changes to the copyFrom method in FilePath class,"added more convenience methods

git-svn-id: https://hudson.dev.java.net/svn/hudson/trunk/hudson/main@16238 71c3de6d-444a-0410-be80-ed276b4c234a"
Add check for empty statement list to prevent returning null violation list,Add check for empty statement list in WallProvider,Add check for empty statement list in WallProvider,"bug fixed for WallFilter, empty sql"
Refactor header compile action builder to handle javabase inputs,Refactor static index loading method and remove unused imports,Refactor test to load static index from data path instead of resource location,fix backwards test to not muck with URIs or get mad about extra clusters
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,[hotfix] add some more buffer recycling checks in SpillableSubpartitionTest
Refactored LIRIntrospection class to improve code readability. Modified doForValue method to include Values parameter for better encapsulation and code organization.,"Refactored the LIRIntrospection class to remove duplicate code and improve readability. Also, updated the method signature for the doForValue method to include the Values parameter.","Refactored the LIRIntrospection class to remove duplicate code and improve readability. The doForValue method now takes an additional parameter, Values, to avoid repetition and improve code organization.",LIRIntrospection: pass the right Values to ValuePositions.
Refactor setFromAxis method in Quaternion,Refactor setFromAxis method in Quaternion to handle edge case where input vector has length of 0.,Refactor setFromAxis in Quaternion to handle division by zero,Handle division by zero
Refactoring TestResult and SurefireArchiver classes to improve performance and readability,"Refactor TestResult and SurefireArchiver methods to include parsing functionality
-------------
Created by MOE: http://code.google.com/p/moe-java
MOE_MIGRATED_REVID=49168430","Refactor TestResult to parse report files with specific build time

Extracted a new method in TestResult to parse report files with a given build time. This method allows for filtering out files that were created before the specified time.

Also updated SurefireArchiver to utilize the new parse method when collecting test reports.","Prevent repeated array copy of DirectoryScanner's included files.
Previously, array was copied 3 times, now only once."
Modify RunParameterValue to handle null Run objects.,Refactor RunParameterValue and remove unnecessary sysout statements,Refactor code to handle null values and remove unnecessary variables.,[JENKINS-20857] - Add some null checks to RunParameterValue
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Avoid sending empty HTTP/2 data frames when there is no request body.

Closes: https://github.com/square/okhttp/issues/2892"
Refactor connection folder loading and ordering,Added ordering of connection folders and objects,Ordered object list creation and ordering method updates,Connection editor fix (folder list ordering)
"Remove obsolete methods in FoundationTestCase.

RELNOTES: None.
PiperOrigin-RevId: 216555805","Remove deprecated methods and assertions from FoundationTestCase.

RELNOTES: None.
PiperOrigin-RevId: 216555805","Remove obsolete scratchFile and deleteFile methods.

RELNOTES: None.
PiperOrigin-RevId: 216555805","Inline FoundationTestCase.deleteFile and one variant of scratchFile.

--
MOS_MIGRATED_REVID=91985334"
Ignore unnecessary command-line arguments (#258),Ignore unsupported command line arguments (#343),Ignore unrecognized options (#44),Support ignored options.
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Move Renderer.VideoScalingMode back to C

As Player depends on VideoScalingMode, and
Renderer should not move to common,
to move Player to common, VideoScalingMode
needs to move first.

#player-to-common

PiperOrigin-RevId: 345314448"
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Remove index modifier methods from DownloadIndex interface

PiperOrigin-RevId: 239045412"
[GR-16729] Fixed JDKInstaller script for Unix.,[GR-16728] Fixed VirtualizedFileSystemTest on Windows.,[GR-16730] Fixed JDKInstaller download process,JD7 is now distributed as a gzip file
"Fix dynamic resizing of parameters array in PreparedStatementProxyImpl

Motivation:

The current logic for dynamically resizing the parameters array in
PreparedStatementProxyImpl is incorrect. When the size exceeds the
current capacity, the new capacity is calculated incorrectly, resulting
in incorrect resizing.

Modifications:

Fix conditional check for new capacity calculation to ensure it is never
set to 0. Instead, set it to a minimum value of 4 if the calculated
value is less than or equal to 4.

Result:

Correctly resizing the parameters array when the size exceeds the
current capacity, ensuring proper functionality of the PreparedStatement.","Refactor capacity calculation in PreparedStatementProxyImpl

Motivation:

The current implementation of the capacity calculation in
PreparedStatementProxyImpl can result in a new capacity of 0 if the
current size is 0. This can lead to potential issues when resizing the
array.

Modifications:

Refactor the capacity calculation to ensure a minimum capacity of 4,
even if the current size is 0.

Result:

A more robust and reliable capacity calculation for the prepared statement
parameters array.","Ensure minimum capacity for parameters array in PreparedStatementProxyImpl

Motivation:

The current logic for increasing the capacity of the parameters array in
PreparedStatementProxyImpl is flawed. It only checks if the new capacity is
zero, which can lead to unexpected behavior if the array already has a capacity
of zero. This can cause performance issues and potential bugs.

Modifications:

Update the logic to ensure a minimum capacity of 4 for the parameters array,
even if the new capacity calculated is zero.

Result:

More robust and stable handling of the parameters array, ensuring a minimum
capacity for better performance and reliability.",bug fixed for proxy.
[SLContext] Add method to return current Truffle environment,Add SLContext method to retrieve Truffle environment,"[RFT] Refactor SLInspectDebugTest

Original commit: oracle/graal@d5e47d4e28434f348ede5f65783af70d58cb322",Fix SLInspectDebugTest.
Add node level setting for consistent random seed.,"[JENKINS-30705] Reset cache for exact results in unittest

(cherry picked from commit 52f9172c69bf7983e385e5dce1d962110c8a5b0e)","[TESTS_ENABLE_MOCK_MODULES] Added node level setting for consistent random seed

(cherry picked from commit 52f9172c69bf7983e385e5dce1d962110c8a5b0e)",pass on node seed to the node level settings in TestCluster
refactor HlsMediaSource constructor,refactor media source initialization,Optimize config and improve code readability.,"Add Builder pattern to HlsMediaSource.

Add Builder pattern to HlsMediaSource and mark existing constructors as
deprecated.

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=175803853"
Refactored LSStackSlotAllocator class to improve code organization and readability.,Refactored LSStackSlotAllocator class to improve code readability and maintainability.,Revised the LSStackSlotAllocator class to improve slot allocation efficiency and readability.,LSStackSlotAllocator: lazy initialize freeSlot and improve javadoc.
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"New depset() API

`depset` constructor has new arguments, `direct` and `transitive`.
`items` argument is deprecated and after its removal `direct` will
become a sole positional argument.
If `transitive` and `items` are specified, `items` must be a list of
direct elements.
In the absence of `transitive` the value of `items` can also be a
depset, but that behavior is deprecated.

RELNOTES: New depset API
PiperOrigin-RevId: 170346194"
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Query Refactoring: Move null-checks from constructors and setters to validate

Following up to #12427, this PR does same changes, moving null-checks from construtors
and setters in query builder to the validate() method.

PR against query-refactoring branch"
"Add isAbsoluteUri method to Util class and test case to UtilTest class.

The isAbsoluteUri method determines if the given URI is an absolute URI by checking if it contains a colon (:) before any occurrences of #, ?, or /. The method returns true if it is an absolute URI, and false otherwise.

The testIsAbsoluteUri method in UtilTest class tests the isAbsoluteUri method by asserting the expected results for different URI formats.

--
MOS_MIGRATED_REVID=100283097","Add isAbsoluteUri method to Util class

Added a method to Util class that checks whether a given string denotes an absolute URI. The method is implemented similarly to the one in the URI class, but allows for more leniency in URI escaping.

---

MOS_MIGRATED_REVID=100283097","Update Util class with new methods isAbsoluteUri() and _indexOf(), and fix potential open redirect vulnerabilities in DirectoryBrowserSupport and AuthenticationProcessingFilter2. 

Util class now includes a method isAbsoluteUri() that checks if a given string denotes an absolute URI. This method follows a similar algorithm as java.net.URI, but is more lenient about URI escaping. The Util class also includes a new private method _indexOf() that works like String.indexOf(), but returns the length of the string instead of -1 when the character is not found.

In DirectoryBrowserSupport, an open redirect vulnerability is fixed by checking if the ""pattern"" parameter is not null and not an absolute URI before redirecting.

In AuthenticationProcessingFilter2, an open redirect vulnerability is fixed by checking if the target URL is an absolute URI before setting it as the default target URL. If the target URL is an absolute URI, the default target URL is set as ""."" to avoid the open redirect vulnerability.

UtilTest is also updated with a new test method, testIsAbsoluteUri(), to test the isAbsoluteUri() method in the Util class.

--
MOS_MIGRATED_REVID=100283097",[FIXED SECURITY-45]
Add enhanced configuration API,Add support for configuring secure transport protocols in networking options (#2345),"Update configuration API

The changes in this commit enhance the configuration API by adding new methods to retrieve properties from different sources. It also fixes an issue related to server shutdown timeout.",Add missing covariant return in various options
add doEncryptRoute(),add doEncryptRoute(),add doEncryptRoute() function,optimize to get sharding rule
"For #2145, Change init() method to close() method in ZookeeperBeanDefinitionParser
For #2146, Remove init() method calls in OrchestrationFacade
For #2147, Remove init() method in RegistryCenter
For #2148, Remove init() method in ZookeeperRegistryCenter","For #2145, Update commit message format and remove unnecessary init method","For #2145, Remove redundant init() method from RegistryCenter and ZookeeperRegistryCenter classes",reg-center.init => constructor
fix incorrect variable names,"modify tests: refactor and update tests
",Fix variable names in tests and classes related to node statistics and caching,"Remove DiscoveryNode#id in favour of existing  DiscoveryNode#getId

Original commit: elastic/x-pack-elasticsearch@44b835ae38ae459498df2bb58d2b37cb304165b4"
Use optional UTF method for reading and writing types in GetResult class,Change method calls from readUTF() and writeUTF() to readOptionalUTF() and writeOptionalUTF() in GetResult class,"Change reading and writing of ""type"" field to support optional values","Get/MultiGet API with no type provided and doc does not exists causes a failure, closes #1794."
"Update unwrap method to throw SQLException with appropriate message.
Remove unnecessary check for isBound in removeServiceConnection method.
Remove check for Build.VERSION.SDK_INT and always recreate activity in onResume method for DynamicLanguage and DynamicTheme.","Refactor PooledDataSource to improve connection handling

Refactor PassphraseRequiredMixin to remove unnecessary service connection check

Refactor DynamicLanguage and DynamicTheme to simplify onResume logic","Updated unwrapConnection and removeServiceConnection methods, and removed unnecessary checks.","Fix more leaked service connections

PassphraseRequiredMixin might check for a bound service at a time where
the bind has been requested but the service connection has not been
established yet, and therefore fail to call unbindService, leading to a
leaked service connection. This fixes #1518."
modified the onFailure method to include the timeout value in the MasterNotDiscoveredException message,modified the onFailure method to include the timeout value in the MasterNotDiscoveredException message,added a more informative error message when the master node is not discovered during a timeout,better failure message when no master found (how long we waited for it)
"test: enable test that verifies analysis root causes were reported

Original commit: bazelbuild/bazel@ff1406943076d0be418a1d0d73cd7807455ff817","test: fix testReportsAnalysisRootCauses test and remove @Ignore annotation

Original commit: bazelbuild/bazel@d5a746c0bf9fedd43502c8586f50f1f0726c243a","test: add a test that verifies the analysis root causes report correctly

Original commit: bazelbuild/bazel@0f4e24610d7a351f1c33f2bd0d965cae4303d906","Restore the test for analysis root cause reporting.

--
MOS_MIGRATED_REVID=112780859"
#6778 Add startup hook to install VM inspections,#6781 Add Read expensive props action in object eidtor toolbar.,#6778 Read expensive properties action in object editor toolbar.,Make -H:+AllowVMInspection work on Windows
"Add multi-language support to PlatformLanguageDescriptor (model)

Enable reading expensive properties dynamically in DataSourcePropertyFilter

Add read expensive properties action to",Added multi-language support for the model and updated the property filtering logic. Introduced a new action to read expensive properties and updated the progress page control to display the current progress information.,"Multi-language support (model)
Read expensive properties for ObjectPropertiesEditor",#6778 Read expensive properties action in object eidtor toolbar.
GT-2 - improvement on block processing and splitting,"GT-1 - small bug fix for NPE
BlockProcessor: Fix logic to check for synthetic blocks before inserting new block
BlockSplitter: Add condition to start new block if instruction contains exception handler",GT-2 - bug fix for Null Pointer Exception and code readability improvement,core: fix exception handler jumps (#320)
"Fix image file name extraction in BitmapFont class

Previously, the image file name was not correctly extracted from the page array. This caused an error when trying to load the font. The image file name is now properly extracted and used to create a new TextureRegion. This fixes the issue.

Closes gh-3799","Refactor loading image file name in BitmapFont class

This commit updates the code in the BitmapFont class to extract the image file name correctly when loading a font file. The previous implementation was not handling the file name properly, leading to invalid font file errors.

Closes gh-3799","Fix incorrect file path for font image

In the BitmapFont class, the file path for the font image was not being correctly extracted, leading to an invalid file path error. This fix ensures that the correct image file path is used when loading the font.

Closes gh-3799",[fixed] imageFile wasn't loading as it contained enclosing double quotes. Tweaked the substring to remove them.
"Add option to print graphs as binary or XML format.

Print IdealGraphVisualizer output in binary format is now an option.",Added JSON output option for CPU Sampler (+) and removed unused code for output settings in Ideal graph visualizer (-). Updated path for dumping CFG and IGV graphs.,Removed unused GraalOptions.PrintBinaryGraphs option and added support for dumping graphs to json format.,Add option DumpPath to specify directory for IGV and C1Visualizer dump files; simplify file name construction for IGV files
Null Values due to token limit,Null Values due to token limit,Null Values due to token limit,"Move the big integer conversion code into InetAddresses

RELNOTES=Add toBigInteger and fromIpv4BigInteger/fromIpv6BigInteger to InetAddresses for manipulating InetAddresses as BigIntegers

-------------
Created by MOE: https://github.com/google/moe
MOE_MIGRATED_REVID=280282088"
"Remove setContinuousPlayback() method implementation from FakeAdsRequest.

The setContinuousPlayback() method in FakeAdsRequest is no longer needed
and has been removed since it was throwing an unsupported operation
exception.",Remove setContinuousPlayback method from FakeAdsRequest.,"Remove unused setContinuousPlayback method in FakeAdsRequest.

The setContinuousPlayback method in FakeAdsRequest is not being used
and is throwing an UnsupportedOperationException. This method can be
safely removed from the code to improve clarity and simplify the codebase.","Fix IMA test build issue

PiperOrigin-RevId: 256545951"
